,,,,,,,,,,,extracted automatically,,,,,,,
908,2023,Explainable Heart Disease Diagnosis with Supervised Learning Methods,Tsehay Admassu Assegie; S Sushma; Shonazarova Shakhnoza Mamanazarovna,Article,Ediciones Universidad de Salamanca,5,TRUE,https://revistas.usal.es/cinco/index.php/2255-2863/article/download/31228/30379,,10.14201/adcaij.31228,heart disease,Heart disease,Cardiology,SHAP,XGBoost; Random Forest; SVM; Naive Bayes,Tabular/EHR,Diagnosis/detection/classification,high
909,2022,Explainable Heart Disease Prediction Using Ensemble-Quantum Machine Learning Approach,Ghada Abdulsalam; Souham Meshoul; Hadil Shaiba,Article,Taylor & Francis,92,TRUE,https://file.techscience.com/ueditor/files/iasc/TSP_IASC-36-1/TSP_IASC_32262/TSP_IASC_32262.pdf,,10.32604/iasc.2023.032262,heart disease,Heart disease,Cardiology,SHAP,Quantum SVM; Quantum Neural Network; VQC; SVM; ANN; Bagging Ensemble,Tabular/EHR,Survival/mortality prediction,high
912,2025,Explainable illicit drug abuse prediction using hematological differences,Aijun Chen; Yinchu Shen; Yu Xu; Jinhui Cai; Bo Ye; Jiaxue Sun; Jinze Du; Deshenyue Kong,Journal Article,Nature Portfolio,1,TRUE,https://www.nature.com/articles/s41598-025-06154-y.pdf,40775225,10.1038/s41598-025-06154-y,illicit drug use prediction,Substance use disorder,Psychiatry & Mental Health,SHAP,LightGBM; ML models (unspecified),Tabular/EHR,Risk prediction/screening,medium
915,2025,Explainable label guided lightweight network with axial transformer encoder for early detection of oral cancer,Dhirendra Prasad Yadav; Bhisham Sharma; Ajit Noonia; Abolfazl Mehbodniya,Journal Article,Nature Portfolio,16,TRUE,https://www.nature.com/articles/s41598-025-87627-y.pdf,39984521,10.1038/s41598-025-87627-y,oral cavity cancer,Oral cancer,Oncology,Grad-CAM,LWENet (Vision Transformer + depthwise separable CNN),Tabular/EHR,Risk prediction/screening,high
920,2023,Explainable machine learning aggregates polygenic risk scores and electronic health records for Alzheimer's disease prediction,Xiaoyi Gao; Marion Chiariglione; Ke Qin; Karen Nuytemans; Douglas W. Scharre; Yi‐Ju Li; Eden R. Martin,"Journal Article||Research Support, N.I.H., Extramural",Nature Portfolio,46,TRUE,https://www.nature.com/articles/s41598-023-27551-1.pdf,36624143,10.1038/s41598-023-27551-1,Alzheimer's disease,Alzheimer's disease,Neurology,SHAP,XGBoost,Omics,Risk prediction/screening,high
925,2022,Explainable machine learning analysis reveals sex and gender differences in the phenotypic and neurobiological markers of Cannabis Use Disorder,Gregory Niklason; Eric Rawls; Sisi Ma; Erich Kummerfeld; Andrea M. Maxwell; Leyla R. Brucar; Gunner Drossel; Anna Zilverstand,"Journal Article||Research Support, Non-U.S. Gov't||Research Support, N.I.H., Extramural",Nature Portfolio,21,TRUE,https://www.nature.com/articles/s41598-022-19804-2.pdf,36115920,10.1038/s41598-022-19804-2,cannabis use disorder,Substance use disorder,Psychiatry & Mental Health,SHAP,XGBoost; Gradient Tree Boosting,Tabular/EHR,Diagnosis/detection/classification,high
926,2024,Explainable machine learning and online calculators to predict heart failure mortality in intensive care units,An‐Tian Chen; Yuhui Zhang; Jian Zhang,Journal Article||Multicenter Study,Wiley,9,TRUE,https://academic.oup.com/eschf/article-pdf/12/1/353/64513079/eschf_12_1_353.pdf,39300773,10.1002/ehf2.15062,heart failure ICU mortality,Heart failure,Cardiology,SHAP,LDA; Logistic Regression; LASSO; ML models (unspecified),Tabular/EHR,Survival/mortality prediction,high
928,2020,Explainable Machine Learning Approach as a Tool to Understand Factors Used to Select the Refractive Surgery Technique on the Expert Level,Tae Keun Yoo; Ik Hee Ryu; Hannuy Choi; Jin Kuk Kim; In Sik Lee; Jung Sub Kim; Geunyoung Lee; Tyler Hyungtaek Rim,Journal Article,Association for Research in Vision and Ophthalmology,79,TRUE,https://tvst.arvojournals.org/arvo/content_public/journal/tvst/938366/i2164-2591-223-2-1774.pdf,32704414,10.1167/tvst.9.2.8,refractive surgery selection,Refractive surgery,Ophthalmology,SHAP,XGBoost,Tabular/EHR,Diagnosis/detection/classification,high
931,2024,Explainable machine learning approach for cancer prediction through binarilization of RNA sequencing data,Tianjie Chen; Md Faisal Kabir,"Journal Article||Research Support, Non-U.S. Gov't",Public Library of Science,5,TRUE,https://journals.plos.org/plosone/article/file?id=10.1371/journal.pone.0302947&type=printable,38728288,10.1371/journal.pone.0302947,cancer prediction from RNA sequencing,Cancer (general),Oncology,feature importance (binarilisation-based),Neural Network; Random Forest; XGBoost; SVM; Decision Tree,Omics,Diagnosis/detection/classification,medium
932,2023,Explainable Machine Learning Approach for Hepatitis C Diagnosis Using SFS Feature Selection,Ali Mohd Ali; Mohammad R. Hassan; Faisal Aburub; Mohammad Alauthman; Amjad Aldweesh; Ahmad Al–Qerem; Issam Jebreen; Ahmad Nabot,Article,Multidisciplinary Digital Publishing Institute,29,TRUE,https://www.mdpi.com/2075-1702/11/3/391/pdf?version=1678961496,,10.3390/machines11030391,hepatitis C,Hepatitis,Other,SHAP,ML models (unspecified); SMOTE; SFS,Tabular/EHR,Treatment response prediction,high
934,2022,Explainable machine learning approach to predict extubation in critically ill ventilated patients: a retrospective study in central Taiwan,Kai-Chih Pai; Shao-An Su; Ming-Cheng Chan; Chieh‐Liang Wu; Wen‐Cheng Chao,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,17,TRUE,https://bmcanesthesiol.biomedcentral.com/counter/pdf/10.1186/s12871-022-01888-y,36376785,10.1186/s12871-022-01888-y,mechanical ventilation extubation prediction,Mechanical ventilation,Respiratory & Infectious Disease,SHAP; Partial Dependence Plot; LIME; feature importance,XGBoost; CatBoost; LightGBM; Random Forest; Logistic Regression,Tabular/EHR,Monitoring/management,high
936,2024,Explainable Machine Learning Approach to Prediction of Prolonged Intensive Care Unit Stay in Adult Spinal Deformity Patients: Machine Learning Outperforms Logistic Regression,Bashar Zaidat; Mark Kurapatti; Jonathan S. Gal; Samuel K. Cho; Jun Kim,Journal Article,SAGE Publishing,9,TRUE,https://doi.org/10.1177/21925682241277771,39169510,10.1177/21925682241277771,prolonged ICU stay after adult spinal deformity surgery,Spinal disorders,Musculoskeletal & Rheumatology,SHAP,Decision Tree; Random Forest; SVM; Gradient Boosting; CNN,Tabular/EHR,Prognosis/outcome prediction,high
939,2025,Explainable Machine Learning Assists in Revealing Associations Between Polysomnographic Biomarkers and Incident Type 2 Diabetes in Men,Duc Phuc Nguyen; Peter Catcheside; Bastien Lechat; Gary Wittert; Andrew Vakulin; Robert Adams; Sarah Appleton,Journal Article,Dove Medical Press,1,TRUE,https://www.dovepress.com/article/download/106358,40918054,10.2147/NSS.S512262,type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,XAI (unspecified),ML models (unspecified),Physiological signal,Biomarker discovery,high
941,2021,Explainable machine learning can outperform Cox regression predictions and provide insights in breast cancer survival,Arturo Moncada‐Torres; Marissa C. van Maaren; Mathijs P. Hendriks; Sabine Siesling; Gijs Geleijnse,Journal Article,Nature Portfolio,341,TRUE,https://www.nature.com/articles/s41598-021-86327-7.pdf,33772109,10.1038/s41598-021-86327-7,breast cancer survival,Breast cancer,Oncology,SHAP,Random Survival Forest; Survival SVM; XGBoost; Cox Proportional Hazards,Tabular/EHR,Survival/mortality prediction,high
943,2023,Explainable Machine Learning Explores Association Between Sarcopenia and Breast Cancer Distant Metastasis,Hongzhuo Qi; Yunfei An; Xiaohui Hu; Shidi Miao; Jing Li,Article,Institute of Electrical and Electronics Engineers,6,TRUE,https://doi.org/10.1109/access.2023.3289403,,10.1109/ACCESS.2023.3289403,breast cancer distant metastasis,Breast cancer,Oncology,SHAP,Multi-objective Genetic Algorithm; Cox Regression,Multimodal,Survival/mortality prediction,high
950,2023,Explainable machine learning for coronary artery disease risk assessment and prevention; Aprendizaje automático explicable para la evaluación y prevención del riesgo de arteriopatía coronaria,Nabaouia Louridi; Samira Douzi; El Ouahidi Bouabid,Article,,1,TRUE,https://dm.saludcyt.ar/index.php/dm/article/download/65/263,,10.56294/dm202365,coronary artery disease,Coronary artery disease,Cardiology,SHAP,CatBoost; LightGBM; GAN; VAE; Boruta,Tabular/EHR,Survival/mortality prediction,high
951,2022,Explainable Machine Learning for COVID-19 Pneumonia Classification With Texture-Based Features Extraction in Chest Radiography,Luís Vinícius de Moura; Christian Mattjie; Caroline Machado Dartora; Rodrigo C. Barros; Ana Maria Marques da Silva,Journal Article,Frontiers Media,31,TRUE,https://www.frontiersin.org/articles/10.3389/fdgth.2021.662343/pdf,35112097,10.3389/fdgth.2021.662343,COVID-19 pneumonia,COVID-19,Respiratory & Infectious Disease,SHAP,XGBoost; Random Forest,Multimodal,Diagnosis/detection/classification,high
956,2024,Explainable machine learning for early predicting treatment failure risk among patients with TB-diabetes comorbidity,Anzhou Peng; Xianghua Kong; Songtao Liu; Huifen Zhang; Lingling Xie; Lijuan Ma; Qiu Zhang; Yong Chen,Journal Article,Nature Portfolio,18,TRUE,https://www.nature.com/articles/s41598-024-57446-8.pdf,38514736,10.1038/s41598-024-57446-8,tuberculosis with diabetes mellitus treatment failure,Tuberculosis,Respiratory & Infectious Disease,SHAP,XGBoost; Random Forest; Boruta,Tabular/EHR,Prognosis/outcome prediction,high
957,2024,Explainable machine learning for early prediction of sepsis in traumatic brain injury: A discovery and validation study,Wenchi Liu; Yu Xing; Jinhong Chen; Weizhi Chen; Q.J.J. Wu,Journal Article||Validation Study,Public Library of Science,6,TRUE,https://doi.org/10.1371/journal.pone.0313132,39527609,10.1371/journal.pone.0313132,sepsis in traumatic brain injury patients,Sepsis,Respiratory & Infectious Disease,SHAP,XGBoost; ML models (unspecified),Tabular/EHR,Risk prediction/screening,high
958,2024,"Explainable Machine Learning for Efficient Diabetes Prediction Using Hyperparameter Tuning, SHAP Analysis, Partial Dependency, and LIME",Md. Manowarul Islam; Habibur Rahman Rifat; M. Shahid; Arnisha Akhter; Md. Ashraf Uddin; Khandaker Mohammad Mohi Uddin,Article,Wiley,28,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/eng2.13080,,10.1002/eng2.13080,type 2 diabetes mellitus,Type 2 diabetes mellitus,Diabetes & Endocrinology,SHAP; Partial Dependence; LIME,Extra Trees; ML models (unspecified); SMOTE,Tabular/EHR,Prognosis/outcome prediction,high
960,2022,Explainable machine learning for knee osteoarthritis diagnosis based on a novel fuzzy feature selection methodology,Christos Kokkotis; Charis Ntakolia; Serafeim Moustakidis; Giannis Giakas; Dimitrios Tsaopoulos,Journal Article,Springer Nature,60,TRUE,https://link.springer.com/content/pdf/10.1007/s13246-022-01106-6.pdf,35099771,10.1007/s13246-022-01106-6,knee osteoarthritis,Osteoarthritis,Musculoskeletal & Rheumatology,explainability analysis (unspecified),Random Forest; ML models (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
962,2023,Explainable machine learning for long-term outcome prediction in two-center stroke patients after intravenous thrombolysis,Ping Zheng; She Huiyu; Min Li; Bai Qingke; Lu Qiuyun; Chen Xu,Journal Article,Frontiers Media,13,TRUE,https://www.frontiersin.org/articles/10.3389/fnins.2023.1146197/pdf,36908783,10.3389/fnins.2023.1146197,stroke neurological outcome after thrombolysis,Stroke,Neurology,XAI (unspecified),Random Forest; SVM; Logistic Regression,Tabular/EHR,Prognosis/outcome prediction,high
967,2025,Explainable machine learning for predicting distant metastases in renal cell carcinoma patients: a population-based retrospective study,Zhao Hou; Peipei Wang; Dingyang Lv; Huiyu Zhou; Zhiwei Guo; Jinshuai Li; Mohan Jia; Hongyang Du; Weibing Shuang,Journal Article,Frontiers Media,1,TRUE,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1624198/pdf,40800127,10.3389/fmed.2025.1624198,renal cell carcinoma distant metastasis,Renal cell carcinoma,Oncology,SHAP,XGBoost; Logistic Regression; ML algorithms (unspecified),Tabular/EHR,Prognosis/outcome prediction,high
968,2025,Explainable machine learning for predicting ICU mortality in myocardial infarction patients using pseudo-dynamic data,Munib Mesinovic; Peter Watkinson; Tingting Zhu,Journal Article,Nature Portfolio,13,TRUE,https://www.nature.com/articles/s41598-025-13299-3.pdf,40739438,10.1038/s41598-025-13299-3,myocardial infarction ICU mortality,Myocardial infarction,Cardiology,SHAP,XGBoost; tabular deep learning models (unspecified),Tabular/EHR,Survival/mortality prediction,high
969,2025,Explainable machine learning for predicting lung metastasis of colorectal cancer,Zhentian Guo; Zongming Zhang; Limin Liu; Yue Zhao; Zhuo Liu; Chong Zhang; Hui Qi; Jinqiu Feng; Peijie Yao,Journal Article,Nature Portfolio,12,TRUE,https://www.nature.com/articles/s41598-025-98188-5.pdf,40253427,10.1038/s41598-025-98188-5,colorectal cancer lung metastasis,Colorectal cancer,Oncology,SHAP,Random Forest; Decision Tree; SVM; Naive Bayes; KNN; XGBoost; Gradient Boosting Machine,Tabular/EHR,Prognosis/outcome prediction,high
970,2024,Explainable machine learning for predicting neurological outcome in hemorrhagic and ischemic stroke patients in critical care,Huawei Wei; Xingshuai Huang; Yixuan Zhang; Guowei Jiang; Ruifeng Ding; Mengqiu Deng; Liangtian Wei; Hongbin Yuan,Journal Article,Frontiers Media,10,TRUE,https://www.frontiersin.org/journals/neurology/articles/10.3389/fneur.2024.1385013/pdf,38915793,10.3389/fneur.2024.1385013,stroke neurological outcome at discharge,Stroke,Neurology,SHAP,Gradient Boosting; Logistic Regression; MLP; Random Forest,Tabular/EHR,Prognosis/outcome prediction,high
979,2022,Explainable Machine Learning for Real-Time Hypoglycemia and Hyperglycemia Prediction and Personalized Control Recommendations,Christopher Duckworth; Matthew Guy; Anitha Kumaran; Aisling Ann O’Kane; Amid Ayobi; Adriane Chapman; Paul Marshall; Michael Boniface,"Journal Article||Research Support, Non-U.S. Gov't",SAGE Publishing,65,TRUE,https://doi.org/10.1177/19322968221103561,35695284,10.1177/19322968221103561,hypoglycaemia and hyperglycaemia in type 1 diabetes,Type 1 diabetes mellitus,Diabetes & Endocrinology,SHAP,XGBoost; Logistic Regression,Wearable/sensor,Prognosis/outcome prediction,high
981,2025,Explainable machine learning framework for biomarker discovery by combining biological age and frailty prediction,Xiheng Wang; Jie Ji,Journal Article,Nature Portfolio,10,TRUE,https://www.nature.com/articles/s41598-025-98948-3.pdf,40263505,10.1038/s41598-025-98948-3,biological ageing and frailty biomarkers,Ageing,Ageing & Geriatrics,SHAP,CatBoost; Gradient Boosting; tree-based ML (unspecified),Tabular/EHR,Biomarker discovery,medium
982,2025,Explainable machine learning framework for cataracts recognition using visual features,Xiao Wu; Lingxi Hu; Zunjie Xiao; Xiaoqing Zhang; Risa Higashita; Jiang Liu,Journal Article,Springer Nature,8,TRUE,https://vciba.springeropen.com/counter/pdf/10.1186/s42492-024-00183-6,39821539,10.1186/s42492-024-00183-6,cataract severity,Cataract,Ophthalmology,SHAP,Ensemble Ridge Regression,Medical imaging,Diagnosis/detection/classification,high
986,2022,Explainable machine learning framework for predicting long-term cardiovascular disease risk among adolescents,Haya Salah; Sharan Srinivas,"Journal Article||Research Support, N.I.H., Extramural",Nature Portfolio,45,TRUE,https://www.nature.com/articles/s41598-022-25933-5.pdf,36536006,10.1038/s41598-022-25933-5,cardiovascular disease risk in adolescents,Cardiovascular disease,Cardiology,XAI (unspecified),Decision Tree; Random Forest; XGBoost; Deep Neural Network,Tabular/EHR,Survival/mortality prediction,high
987,2023,Explainable machine learning framework to predict personalized physiological aging,David Bernard; Emmanuel Doumard; Isabelle Ader; Philippe Kémoun; Jean‐Christophe Pagès; Anne Galinier; Sylvain Cussat‐Blanc; Félix Furger; Luigi Ferrucci; Julien Aligon; Cyrille Delpierre; Luc Pénicaud; Paul Monsarrat; Louis Casteilla,"Journal Article||Research Support, Non-U.S. Gov't",Wiley,100,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1111/acel.13872,37300327,10.1111/acel.13872,physiological ageing and chronic disease,Ageing,Ageing & Geriatrics,SHAP,XGBoost,Tabular/EHR,Survival/mortality prediction,medium
988,2024,Explainable machine learning framework to predict the risk of work-related neck and shoulder musculoskeletal disorders among healthcare professionals,Na Luo; Xinyi Xu; Biling Jiang; Zeyuan Zhang; Jingyu Huang; Xiulan Zhang; Qiong Tan; Xuanyi Wang; Siyi Bai; Suyi Liu; Yishuang Pan; Chi Pui Tang; Pinghua Zhu,Journal Article,Frontiers Media,9,TRUE,https://www.frontiersin.org/journals/public-health/articles/10.3389/fpubh.2024.1414209/pdf,39228842,10.3389/fpubh.2024.1414209,neck and shoulder musculoskeletal disorders,Musculoskeletal disorders,Musculoskeletal & Rheumatology,SHAP,SVM; Random Forest; MLP; Elastic Net; Boruta,Tabular/EHR,Risk prediction/screening,high
989,2025,Explainable machine learning identifies key quality-of-life-related predictors of arthritis status: evidence from the China health and retirement longitudinal study,Kaibin Lin; T. J. Jiang; Jiafen Liao; Xianrun Zhou; Zheng Wang; Yiyue Chen; Xi Xu; Bing Zhou,Journal Article,BioMed Central,2,TRUE,https://hqlo.biomedcentral.com/counter/pdf/10.1186/s12955-025-02412-9,40859240,10.1186/s12955-025-02412-9,arthritis,Arthritis,Musculoskeletal & Rheumatology,SHAP,Gradient Boosting; LightGBM; CatBoost; XGBoost; Random Forest; Logistic Regression; Decision Tree; Naive Bayes; KNN; SMOTE,Tabular/EHR,Risk prediction/screening,high
994,2023,Explainable Machine Learning in Human Gait Analysis: A Study on Children With Cerebral Palsy,Djordje Slijepčević; Matthias Zeppelzauer; Fabian Unglaube; Andreas Kranzl; Christian Breiteneder; Brian Horsak,Article,Institute of Electrical and Electronics Engineers,33,TRUE,https://ieeexplore.ieee.org/ielx7/6287639/6514899/10164110.pdf,,10.1109/ACCESS.2023.3289986,cerebral palsy gait classification,Cerebral palsy,"Maternal, Reproductive & Child Health",Grad-CAM,CNN; Self-normalising Neural Network; Random Forest; Decision Tree,Tabular/EHR,Diagnosis/detection/classification,high
995,2024,Explainable machine learning in outcome prediction of high-grade aneurysmal subarachnoid hemorrhage,Lei Shu; Hua Yan; Yanze Wu; Tengfeng Yan; Yang Li; Si Zhang; Zhihao Chen; Qiuye Liao; Lu Yang; Bing Xiao; Minhua Ye; Shigang Lv; Miaojing Wu; Xingen Zhu; Ping Hu,"Journal Article||Research Support, Non-U.S. Gov't",Impact Journals LLC,25,TRUE,https://www.aging-us.com/article/205621/pdf,38431285,10.18632/aging.205621,aneurysmal subarachnoid haemorrhage prognosis,Subarachnoid haemorrhage,Neurology,SHAP,Logistic Regression; SVM; Random Forest; XGBoost,Tabular/EHR,Prognosis/outcome prediction,high
996,2025,Explainable Machine Learning in the Prediction of Depression,Christina Mimikou; Christos Kokkotis; Dimitrios Tsiptsios; Konstantinos Tsamakis; Stella Savvidou; Lillian Modig; Foteini Christidi; Αντωνία Καλτσάτου; Triantafyllos Doskas; Christoph Mueller; Aspasia Serdari; Kostas Anagnostopoulos; Grigorios Trypsianis,Journal Article,Multidisciplinary Digital Publishing Institute,17,TRUE,https://www.mdpi.com/2075-4418/15/11/1412/pdf?version=1748845910,40506984,10.3390/diagnostics15111412,depression,Depression,Psychiatry & Mental Health,SHAP,XGBoost; Logistic Regression; SVM; Neural Network; Genetic Algorithm,Tabular/EHR,Risk prediction/screening,high
997,2022,Explainable machine learning methods and respiratory oscillometry for the diagnosis of respiratory abnormalities in sarcoidosis,Allan de Lima; Agnaldo José Lopes; Jorge Amaral; Pedro Lopes de Melo,"Journal Article||Research Support, Non-U.S. Gov't",BioMed Central,17,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-022-02021-2,36266674,10.1186/s12911-022-02021-2,sarcoidosis,Sarcoidosis,Other,feature importance; Genetic Programming expressions,Genetic Programming; KNN; SVM; AdaBoost; Random Forest; LightGBM; XGBoost; Decision Tree; Logistic Regression,Tabular/EHR,Monitoring/management,high
999,2024,Explainable machine learning methods to predict postpartum depression risk,Susmita Shivaprasad; Krishnaraj Chadaga; Niranjana Sampathila; Srikanth Prabhu; Rajagopala Chadaga P.; K. S. Swathi,Article,Taylor & Francis,10,TRUE,https://doi.org/10.1080/21642583.2024.2427033,,10.1080/21642583.2024.2427033,postpartum depression,Depression,Psychiatry & Mental Health,ELI5; SHAP; LIME; Anchor,KNN; Stacking Ensemble; ML classifiers (unspecified),Tabular/EHR,Risk prediction/screening,high
1000,2025,Explainable machine learning model and nomogram for predicting the efficacy of Traditional Chinese Medicine in treating Long COVID: a retrospective study,Jisheng Zhang; Yang Chen; Aijun Zhang; Yi Yang; Liqian Ma; Hui Meng; Jintao Wu; Kean Zhu; Jiangsong Zhang; Ke Lin; Xianming Lin,Journal Article,Frontiers Media,8,TRUE,https://www.frontiersin.org/journals/medicine/articles/10.3389/fmed.2025.1529993/pdf,40182854,10.3389/fmed.2025.1529993,Long COVID response to traditional Chinese medicine,COVID-19,Respiratory & Infectious Disease,SHAP,XGBoost; SVM; Random Forest; KNN; Neural Network; LASSO,Tabular/EHR,Treatment response prediction,high
1002,2023,Explainable machine learning model based on clinical factors for predicting the disappearance of indeterminate pulmonary nodules,Jingxuan Wang; Nikos Sourlos; Marjolein A. Heuvelmans; Mathias Prokop; Rozemarijn Vliegenthart; Peter M. A. van Ooijen,"Journal Article||Research Support, Non-U.S. Gov't",Elsevier BV,13,TRUE,https://doi.org/10.1016/j.compbiomed.2023.107871,,10.1016/j.compbiomed.2023.107871,indeterminate pulmonary nodule resolution,Lung cancer,Oncology,SHAP; MDI; Permutation Feature Importance,Random Forest; ML models (unspecified),Tabular/EHR,Risk prediction/screening,high
1005,2022,Explainable Machine Learning Model for Predicting First-Time Acute Exacerbation in Patients with Chronic Obstructive Pulmonary Disease,Chew‐Teng Kor; Yi‐Rong Li; Pei‐Ru Lin; Sheng‐Hao Lin; Bing‐Yen Wang; Ching‐Hsiung Lin,Journal Article,Multidisciplinary Digital Publishing Institute,56,TRUE,https://www.mdpi.com/2075-4426/12/2/228/pdf?version=1644563928,35207716,10.3390/jpm12020228,acute exacerbation of chronic obstructive pulmonary disease,Chronic obstructive pulmonary disease,Respiratory & Infectious Disease,SHAP; local explanation method,Gradient Boosting Machine; SVM; ML models (unspecified),Tabular/EHR,Risk prediction/screening,high
1009,2025,Explainable machine learning model for predicting internal mammary node metastasis in breast cancer: Multi-method development and cross-cohort validation,Yirong Xiang; Jian Tie; Siyuan Zhang; Chen Shi; Changkuo Guo; Yushuo Peng; Zhaoqing Fan; Weihu Wang,Journal Article||Validation Study,Elsevier BV,5,TRUE,https://www.thebreastonline.com/action/showPdf?pii=S096097762500534X,40516245,10.1016/j.breast.2025.104517,breast cancer internal mammary lymph node metastasis,Breast cancer,Oncology,SHAP,SVM; Logistic Regression; KNN; XGBoost; LASSO; Boruta,Tabular/EHR,Prognosis/outcome prediction,high
1011,2024,Explainable machine learning model for predicting paratracheal lymph node metastasis in cN0 papillary thyroid cancer,Lin Chun; Denghuan Wang; Liqiong He; Donglun Li; Zhiping Fu; Song Xue; Xinliang Su; Jing Zhou,Journal Article,Nature Portfolio,10,TRUE,https://www.nature.com/articles/s41598-024-73837-3.pdf,39333646,10.1038/s41598-024-73837-3,paratracheal lymph node metastasis in papillary thyroid carcinoma,Thyroid cancer,Oncology,SHAP,XGBoost; ML models (unspecified),Tabular/EHR,Diagnosis/detection/classification,high
1012,2025,Explainable Machine Learning Model for Predicting Persistent Sepsis-Associated Acute Kidney Injury: Development and Validation Study,Wei Jiang; Yaosheng Zhang; Jiayi Weng; Lin Song; Siqi Liu; Xianghui Li; Shiqi Xu; Keran Shi; Luanluan Li; Chuanqing Zhang; Jing Wang; Quan Yuan; Yongwei Zhang; Jun Shao; Jiangquan Yu; Ruiqiang Zheng,Journal Article||Validation Study,JMIR Publications,32,TRUE,https://doi.org/10.2196/62932,40200699,10.2196/62932,persistent sepsis-associated acute kidney injury,Acute kidney injury,Nephrology & Urology,SHAP,Gradient Boosting Machine; ML algorithms (unspecified),Tabular/EHR,Biomarker discovery,high
1013,2025,Explainable machine learning model for predicting septic shock in critically sepsis patients based on coagulation indexes: A multicenter cohort study,Qingbo Zeng; En-Lan Peng; Ye Zhou; Qing-Wei Lin; Lin-Cui Zhong; Longping He; Nian-Qing Zhang; Jingchun Song,Journal Article,Elsevier BV,2,TRUE,https://doi.org/10.1016/j.cjtee.2024.08.012,40246624,10.1016/j.cjtee.2024.08.012,septic shock in sepsis patients with coagulopathy,Sepsis,Respiratory & Infectious Disease,SHAP,SVM; ML algorithms (unspecified),Tabular/EHR,Survival/mortality prediction,high
1014,2023,Explainable machine learning model for predicting skeletal muscle loss during surgery and adjuvant chemotherapy in ovarian cancer,Wen‐Han Hsu; A.-R. Ko; Chia‐Sui Weng; Chih‐Long Chang; Ya‐Ting Jan; Jhen‐Bin Lin; Hung‐Ju Chien; Wan‐Chun Lin; Fang‐Ju Sun; Kun‐Pin Wu; Jie Lee,"Journal Article||Research Support, Non-U.S. Gov't",Springer Science+Business Media,62,TRUE,https://onlinelibrary.wiley.com/doi/pdfdirect/10.1002/jcsm.13282,37435785,10.1002/jcsm.13282,muscle loss during ovarian cancer treatment,Ovarian cancer,Oncology,SHAP,Random Forest; ML models (unspecified),Medical imaging,Survival/mortality prediction,high
1016,2021,Explainable machine learning model for predicting spontaneous bacterial peritonitis in cirrhotic patients with ascites,Yingying Hu; Ruijia Chen; Haibing Gao; Haitao Lin; Jin‐Ye Wang; Xiaowei Wang; Jingfeng Liu; Yongyi Zeng,"Journal Article||Research Support, Non-U.S. Gov't",Nature Portfolio,15,TRUE,https://www.nature.com/articles/s41598-021-00218-5.pdf,34737270,10.1038/s41598-021-00218-5,spontaneous bacterial peritonitis in liver cirrhosis,Liver disease,Other,SHAP,CatBoost,Tabular/EHR,Prognosis/outcome prediction,high
1017,2024,Explainable machine learning model for predicting the risk of significant liver fibrosis in patients with diabetic retinopathy,Gangfeng Zhu; Na Yang; Qiang Yi; Rui‐Hua Xu; Liangjian Zheng; Yunlong Zhu; Junyan Li; Jie Che; Cixiang Chen; Zenghong Lu; Li Huang; Yi Xiang; Tianlei Zheng,Journal Article,BioMed Central,10,TRUE,https://bmcmedinformdecismak.biomedcentral.com/counter/pdf/10.1186/s12911-024-02749-z,39529110,10.1186/s12911-024-02749-z,liver fibrosis in diabetic retinopathy patients,Liver disease,Other,SHAP,XGBoost; Random Forest; MLP; SVM; Logistic Regression; Naive Bayes; Decision Tree; KNN,Multimodal,Treatment response prediction,high
1019,2025,Explainable machine learning model for predicting the transarterial chemoembolization response and subtypes of hepatocellular carcinoma patients,Yunjie Zhang; Songjian Tong; Junhui Yang; Jiawei Lin; Yifan Kong; Dongrui R. Lu; Yan Chen; Yingchao Li; Linfeng Xu; Xiuyan Kong; Guoqing Zhu; Hao Zhang; Pixu Liu; Zhijie Yu; Jinglin Xia,Journal Article,BioMed Central,5,TRUE,https://bmcgastroenterol.biomedcentral.com/counter/pdf/10.1186/s12876-025-04105-5,40624491,10.1186/s12876-025-04105-5,hepatocellular carcinoma TACE response,Liver cancer,Oncology,SHAP,XGBoost; CatBoost; ML algorithms (unspecified); RFE; K-means,Tabular/EHR,Treatment response prediction,high
1020,2025,Explainable machine learning model for prediction of 28-day all-cause mortality in immunocompromised patients in the intensive care unit: a retrospective cohort study based on MIMIC-IV database,Zaixin Yu; Lexin Fang; Yueping Ding,Journal Article,BioMed Central,11,TRUE,https://eurjmedres.biomedcentral.com/counter/pdf/10.1186/s40001-025-02622-3,40319284,10.1186/s40001-025-02622-3,ICU mortality in immunocompromised patients,ICU mortality,Critical Care & Surgery,SHAP,SVM; XGBoost; LightGBM; AdaBoost; Random Forest; Gradient Boosting; Naive Bayes; MLP; Logistic Regression,Tabular/EHR,Survival/mortality prediction,high
